 [12 11 2021 11:13:26] 
 [12 11 2021 11:13:26] 
 [12 11 2021 11:13:26] 
 [12 11 2021 11:13:26] 
 [12 11 2021 11:13:26] 
 [12 11 2021 11:13:26] 
 [12 11 2021 11:13:26] 
 [12 11 2021 11:13:26] 
 [12 11 2021 11:13:26] 
 [12 11 2021 11:13:26] 
 [12 11 2021 11:13:43] 12.300000 
 [12 11 2021 11:13:43] 4.560000 
 [12 11 2021 11:13:43] 7.890000 
 [12 11 2021 11:13:43] 0.000000 
 [12 11 2021 11:13:43] 0.000000 
 [12 11 2021 11:13:43] 0.000000 
 [12 11 2021 11:13:43] 0.000000 
 [12 11 2021 11:13:43] 0.000000 
 [12 11 2021 11:13:43] 0.000000 
 [12 11 2021 11:13:43] 0.000000 
 [4 12 2021 18:23:26] 12.300000 
 [4 12 2021 18:23:26] 4.560000 
 [4 12 2021 18:23:26] 7.890000 
 [4 12 2021 18:23:26] 0.000000 
 [4 12 2021 18:23:26] 0.000000 
 [4 12 2021 18:23:26] -65560007661140643414016.000000 
 [4 12 2021 18:23:26] 0.000000 
 [4 12 2021 18:23:26] 0.000000 
 [4 12 2021 18:23:26] 0.000000 
 [4 12 2021 18:23:26] 0.000000 
 [4 12 2021 18:24:13] 12.300000 
 [4 12 2021 18:24:13] 4.560000 
 [4 12 2021 18:24:13] 7.890000 
 [4 12 2021 18:24:13] 0.000000 
 [4 12 2021 18:24:13] 0.000000 
 [4 12 2021 18:24:13] 0.000000 
 [4 12 2021 18:24:13] 0.000000 
 [4 12 2021 18:24:13] 0.000000 
 [4 12 2021 18:24:13] 0.000000 
 [4 12 2021 18:24:13] 0.000000 
